"REF_DATE","GEO","DGUID","Age (2)","Highest certificate, diploma or degree (16)","Major field of study - Classification of Instructional Programs (CIP) 2021 (500)","Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A)","Gender (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Total - Gender","","0","units","0","","1.1.1.1.3.1","20630520","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Men+","","0","units","0","","1.1.1.1.3.2","10690035","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Women+","","0","units","0","","1.1.1.1.3.3","9940485","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","31301 Registered nurses and registered psychiatric nurses","Total - Gender","","0","units","0","","1.1.1.1.232.1","346095","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","31301 Registered nurses and registered psychiatric nurses","Men+","","0","units","0","","1.1.1.1.232.2","32870","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","31301 Registered nurses and registered psychiatric nurses","Women+","","0","units","0","","1.1.1.1.232.3","313225","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","31302 Nurse practitioners","Total - Gender","","0","units","0","","1.1.1.1.233.1","6785","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","31302 Nurse practitioners","Men+","","0","units","0","","1.1.1.1.233.2","570","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","31302 Nurse practitioners","Women+","","0","units","0","","1.1.1.1.233.3","6220","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","32101 Licensed practical nurses","Total - Gender","","0","units","0","","1.1.1.1.239.1","78340","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","32101 Licensed practical nurses","Men+","","0","units","0","","1.1.1.1.239.2","8090","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","32101 Licensed practical nurses","Women+","","0","units","0","","1.1.1.1.239.3","70250","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","33102 Nurse aides, orderlies and patient service associates","Total - Gender","","0","units","0","","1.1.1.1.265.1","380320","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","33102 Nurse aides, orderlies and patient service associates","Men+","","0","units","0","","1.1.1.1.265.2","53690","","","","0"
